COLLOCATE	太	很	蠻	超	SUMABSDEV	LARGESTPREF
遙遠	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
需要	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
高漲	2.70019441840862	-0.841827576070972	-0.290521868450949	-0.313075607571093	4.14561947050164	太
便宜	1.64640207068228	0.0732764088119417	-0.963552031044786	-1.03835432132587	3.72158483186487	太
急	1.97237153853564	-0.28865971553718	-0.649626646806572	-0.700058340626013	3.6107162415054	太
酸	1.66579434859228	-0.122228971119654	-0.711630336824802	-0.766875489461005	3.26652914599774	太
晚	0.606299238380749	0.512971730643333	-1.00639727373377	-1.08452571784726	3.21019396060511	太
會	1.03631296233011	-0.562833081311609	0.992205942072917	-0.49969861373969	3.09105059945433	太
簡單	1.20926744315279	0.138850902712727	-0.821719933058607	-0.885511540550474	3.0553498194746	太
可怕	1.41749358232968	0.0176379102807819	-0.768648614347032	-0.828320199193564	3.03210030615106	太
善良	1.67597300357013	-0.350557690848837	-0.410859966529304	-0.442755770275237	2.88014643122351	太
狠	1.67597300357013	-0.350557690848837	-0.410859966529304	-0.442755770275237	2.88014643122351	太
空虛	1.67597300357013	-0.350557690848837	-0.410859966529304	-0.442755770275237	2.88014643122351	太
變態	1.67597300357013	-0.350557690848837	-0.410859966529304	-0.442755770275237	2.88014643122351	太
過分	1.67597300357013	-0.350557690848837	-0.410859966529304	-0.442755770275237	2.88014643122351	太
清楚	1.20926744315279	-0.281132239492473	0.395239714345586	-0.885511540550474	2.77115093754133	太
早	1.19478227444176	0.0249437719310016	-1.08703329510886	-0.317758086258666	2.62451742774029	太
偏	1.17789447995183	-0.0864289343361623	-0.503198636866885	-0.542262858923629	2.3097849100785	太
好奇	1.17789447995183	-0.0864289343361623	-0.503198636866885	-0.542262858923629	2.3097849100785	太
認識	1.17789447995183	-0.0864289343361623	-0.503198636866885	-0.542262858923629	2.3097849100785	太
無聊	1.47597462862704	-0.486935322446586	-0.0180367136061586	-0.22975833116788	2.21070499584766	太
屬靈	0.617222627371789	0.242581607759949	-0.649626646806572	-0.700058340626013	2.20948922256432	太
操	0.855081209321457	0.0981824148820425	-0.581043736901897	-0.626151215142187	2.16045857624758	太
想	0.544367428537672	-0.189214611774524	0.414179651641241	-0.449377795140726	1.59713948709416	太
像	-2.66063105372487	2.05335909036646	-1.48838681062571	-1.33555202305188	7.53792897776892	很
奇怪	-1.92427632166379	1.61043982974146	-1.69401903933806	-0.729955846575076	5.95869103731838	很
煩	-1.47585256758412	1.28202520046559	-1.29925329361314	-0.685890493256201	4.74302155491906	很
難	-1.25430563677216	1.24483624617529	-0.334383288683892	-1.71478572471323	4.54831089634457	很
可憐	-1.09452155788936	1.14776489011709	-0.963552031044786	-1.03835432132587	4.2441928003771	很
忙	-1.04358535857031	1.09435088397622	-0.918710814392811	-0.990031999765711	4.04667905670506	很
快	0.473618004325737	0.760682637028769	-1.56450814168501	-1.0928311788019	3.89163996184141	很
多	-0.303106686715644	0.9655414722215	-1.98721169599671	-0.432683157746292	3.68854301268014	很
少	-0.268430375120325	0.95968223258392	-1.3516721631298	-1.04323604383216	3.6230208146662	很
容易	-0.933411120834684	0.978817187123126	-0.821719933058607	-0.885511540550474	3.61945978156689	很
生氣	-0.933411120834684	0.978817187123126	-0.821719933058607	-0.885511540550474	3.61945978156689	很
驚訝	-0.933411120834684	0.978817187123126	-0.821719933058607	-0.885511540550474	3.61945978156689	很
熟	0.384925900176071	0.659898599996393	-1.08703329510886	-1.17142165968712	3.30327945496844	很
差	0.49098497541549	0.588828218965412	-1.0474914933435	-1.12881015619462	3.25611484391902	很
自由	-0.808357742817743	0.847680549709454	-0.711630336824802	-0.766875489461005	3.134544118813	很
有趣	-1.04358535857031	0.718706541826306	0.169770984595169	-0.990031999765711	2.9220948847575	很
怕	-0.737926283792062	0.773822931057079	-0.649626646806572	-0.700058340626013	2.86143420228173	很
難講	-0.737926283792062	0.773822931057079	-0.649626646806572	-0.700058340626013	2.86143420228173	很
閒	-0.933411120834684	0.558834044917927	0.395239714345586	-0.885511540550474	2.77299642064867	很
厚	-0.660021333177141	0.692128270556705	-0.581043736901897	-0.626151215142187	2.55934455577793	很
建議	-0.660021333177141	0.692128270556705	-0.581043736901897	-0.626151215142187	2.55934455577793	很
普通	-0.660021333177141	0.692128270556705	-0.581043736901897	-0.626151215142187	2.55934455577793	很
機車	-0.660021333177141	0.692128270556705	-0.581043736901897	-0.626151215142187	2.55934455577793	很
重要	-0.660021333177141	0.692128270556705	-0.581043736901897	-0.626151215142187	2.55934455577793	很
兇	-0.424930474089623	0.659898599996393	-1.08703329510886	-0.317758086258666	2.48962045545354	很
慢	0.137928161159054	0.558834044917927	-0.821719933058607	-0.885511540550474	2.40399367968606	很
棒	0.137928161159054	0.558834044917927	-0.821719933058607	-0.885511540550474	2.40399367968606	很
醜	-1.23478684835532	0.659898599996393	-0.167098271499617	-0.317758086258666	2.37954180610999	很
年輕	0.272183714268836	0.466618774952958	-0.768648614347032	-0.828320199193564	2.33577130276239	很
認真	0.272183714268836	0.466618774952958	-0.768648614347032	-0.828320199193564	2.33577130276239	很
累	0.141542273205664	0.518732672551031	-1.61765214135092	-0.0428989207711324	2.32082600787875	很
偏遠	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
嚴	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
堅強	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
大聲	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
廢	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
精	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
美妙	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
苦惱	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
薄	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
訝異	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
輕	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
難過	-0.571595241571077	0.599400664979495	-0.503198636866885	-0.542262858923629	2.21645740234109	很
長	-0.349442702209826	0.588828218965412	-0.0928298026713487	-1.12881015619462	2.15991088004121	很
一定	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
上來	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
不幸	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
了不起	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
亮	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
仔細	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
俗豔	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
健康	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
入迷	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
冷	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
刻意	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
努力	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
台灣	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
嘰嘰喳喳	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
壓抑	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
夠	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
夯	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
如	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
妙	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
幫	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
強勢	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
心動	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
拘束	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
新鮮	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
晃	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
智障	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
暗	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
有名	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
濃	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
濕	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
痛	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
白痴	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
真誠	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
礙眼	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
穩	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
緊張	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
羨慕	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
虛	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
詭異	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
誠懇	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
貼心	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
輕鬆	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
震	-0.466705560417342	0.489408593561563	-0.410859966529304	-0.442755770275237	1.80972989078345	很
貴	0.275856322318108	0.277701805425453	-0.426480218713021	-0.64173232179774	1.62177066825432	很
好	-1.05529627835439	0.345412039748306	0.0597592981271023	0.128148805533532	1.58861642176333	很
上心	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
下面	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
不滿	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
不解	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
主觀	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
介意	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
以前	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
任性	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
低	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
低姿態	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
低級	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
值得	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
傷	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
傻眼	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
優	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
入流	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
八股	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
公主	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
公平	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
刺眼	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
劇烈	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
反對	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
古老	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
吃力	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
合	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
善於	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
喘	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
嚴謹	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
土	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
堅固	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
堅持	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
夠意思	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
大男人	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
天真	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
失望	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
奇妙	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
奸詐	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
好聽	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
嬌小	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
害羞	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
寬	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
專心	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
專精	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
對不起	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
小題大作	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
崇尚	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
崇洋	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
崩潰	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
平	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
年輕貌美	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
弱	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
強烈	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
後來	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
後面	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
悲哀	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
愛睏	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
感動	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
懶	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
懷疑	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
抓狂	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
抖	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
拋	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
拮据	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
挑食	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
搭配	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
摳	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
擺爛	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
新	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
明白	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
普遍	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
暴躁	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
有錢	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
期待	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
樂意	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
模糊	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
機	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
機密	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
正派	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
沒落	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
油	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
活潑	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
流行	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
涼	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
深	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
淺眠	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
清晰	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
清爽	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
清秀	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
溜	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
滿	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
澎	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
激動	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
火大	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
無趣	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
煩悶	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
熟悉	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
熱	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
熱絡	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
熱血	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
熱衷	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
熱誠	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
燙口	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
燥鬱	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
爆裂	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
玄	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
現實	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
理所當然	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
疼	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
痛恨	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
瘋	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
瘋狂	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
白	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
白目	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
相信	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
真實	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
瞭解	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
短	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
矮	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
禮貌	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
稀	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
積極	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
突出	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
窮	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
粗	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
糗	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
納悶	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
累人	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
細	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
細心	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
耍帥	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
聽話	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
肯定	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
脫節	-0.33001066658857	0.346064135278352	-0.290521868450949	-0.313075607571093	1.27967227788896	很
